Date,Price,Open,High,Low,Vol.,Change %
"Apr 13, 2005",205.75,206.5,206.75,203.75,61.83K,-0.48%
"Apr 12, 2005",206.75,206,208,205,61.46K,0.49%
"Apr 11, 2005",205.75,204,206,203,56.79K,0.86%
"Apr 08, 2005",204,205.75,206.5,203,62.47K,-0.73%
"Apr 07, 2005",205.5,207,208,205.25,55.75K,-0.84%
"Apr 06, 2005",207.25,205.75,208.25,205.5,41.30K,0.85%
"Apr 05, 2005",205.5,209.75,209.75,205.25,70.91K,-2.03%
"Apr 04, 2005",209.75,212,213,209.5,43.42K,-1.41%
"Apr 01, 2005",212.75,213.75,214.5,209,64.19K,-0.12%
"Mar 31, 2005",213,212,218.25,210.75,67.81K,0.24%
"Mar 30, 2005",212.5,212.75,214.5,212.25,33.17K,-0.23%
"Mar 29, 2005",213,212.25,214.5,211.5,32.33K,0.12%
"Mar 28, 2005",212.75,210,213.25,209.25,34.89K,1.07%
"Mar 24, 2005",210.5,210.75,210.75,209.25,40.57K,-0.12%
"Mar 23, 2005",210.75,214,214,209.25,73.16K,-1.52%
"Mar 22, 2005",214,214.75,216.25,213.75,39.04K,-0.23%
"Mar 21, 2005",214.5,218.75,219.5,213,73.18K,-2.39%
"Mar 18, 2005",219.75,223.75,225.5,219.25,41.27K,-1.68%
"Mar 17, 2005",223.5,225.25,226.25,221,65.11K,-0.89%
"Mar 16, 2005",225.5,228,229.75,225.25,85.00K,-1.31%
"Mar 15, 2005",228.5,221,231,220.75,100.44K,6.53%
"Mar 14, 2005",214.5,215.75,216.5,213.5,2.34K,-1.38%
"Mar 11, 2005",217.5,213.5,217.75,212.25,2.84K,2.35%
"Mar 10, 2005",212.5,208.5,212.75,207,2.51K,1.55%
"Mar 09, 2005",209.25,206.75,209.5,206.25,5.09K,1.21%
"Mar 08, 2005",206.75,205,207.5,203.75,3.27K,0.61%
"Mar 07, 2005",205.5,208,210,205,9.91K,-1.67%
"Mar 04, 2005",209,209,211,208,11.78K,-0.24%
"Mar 03, 2005",209.5,209.25,209.5,207.25,15.59K,-0.36%
"Mar 02, 2005",210.25,210,215.5,209,17.45K,-0.36%
"Mar 01, 2005",211,211.5,213,210.25,16.79K,-1.63%
"Feb 28, 2005",214.5,210.75,216.5,210.75,31.89K,1.42%
"Feb 25, 2005",211.5,205,212.75,205,72.58K,2.79%
"Feb 24, 2005",205.75,205.75,206.5,204.5,49.10K,0.00%
"Feb 23, 2005",205.75,205.5,206.5,204.5,42.18K,-0.84%
"Feb 22, 2005",207.5,200.25,209,200.25,89.10K,3.75%
"Feb 18, 2005",200,198.75,200.75,198.5,45.22K,0.38%
"Feb 17, 2005",199.25,197,200,196.75,52.16K,1.14%
"Feb 16, 2005",197,199.75,200,196.75,62.32K,-1.50%
"Feb 15, 2005",200,200.25,200.5,198.75,48.83K,-0.25%
"Feb 14, 2005",200.5,198,201.75,198,47.53K,1.13%
"Feb 11, 2005",198.25,197.75,199,196.5,57.65K,0.00%
"Feb 10, 2005",198.25,195.25,199.75,195.25,94.54K,1.67%
