LOCAL_DATE,mean_temp,mean_prec
28/07/1940 00:00,18.62857143,5.3
29/07/1940 00:00,18.34285714,6.4
30/07/1940 00:00,20.45714286,13.3
31/07/1940 00:00,19.01428571,7.6
01/08/1940 00:00,18.01428571,9.9
02/08/1940 00:00,17.61428571,5.1
03/08/1940 00:00,18.47142857,7.4
04/08/1940 00:00,19.67142857,8.9
05/08/1940 00:00,20.28571429,20.3
06/08/1940 00:00,21.07142857,1
07/08/1940 00:00,20.7,4.6
08/08/1940 00:00,20.8,0
09/08/1940 00:00,21.61428571,3.6
10/08/1940 00:00,20.44285714,0
11/08/1940 00:00,19.9,0
12/08/1940 00:00,22.22857143,7.1
13/08/1940 00:00,21.52857143,12.7
14/08/1940 00:00,18.95714286,17.5
15/08/1940 00:00,17.62857143,0
16/08/1940 00:00,17.3,0
17/08/1940 00:00,18.5,0
18/08/1940 00:00,19.65714286,9.9
19/08/1940 00:00,18.5,17.8
20/08/1940 00:00,17.64285714,14.7
21/08/1940 00:00,14.25714286,4
22/08/1940 00:00,14.2,6.1
23/08/1940 00:00,14.34285714,10.2
24/08/1940 00:00,15.18571429,4
25/08/1940 00:00,14.14285714,2.3
26/08/1940 00:00,15.4,10.9
27/08/1940 00:00,16.51428571,4.8
28/08/1940 00:00,16.1,1.5
29/08/1940 00:00,17.52857143,16.3
30/08/1940 00:00,18.82857143,29.3
31/08/1940 00:00,20.58571429,6.6
01/09/1940 00:00,19.4,5.6
02/09/1940 00:00,18.28571429,14.3
03/09/1940 00:00,18.84285714,0
04/09/1940 00:00,19.25714286,28
05/09/1940 00:00,16.92857143,34.5
06/09/1940 00:00,15.12857143,20.6
07/09/1940 00:00,14.81428571,57.4
08/09/1940 00:00,13.78571429,31.5
09/09/1940 00:00,13.95714286,16
10/09/1940 00:00,13.82857143,0.6
11/09/1940 00:00,13.97142857,10.4
12/09/1940 00:00,13.87142857,37.6
13/09/1940 00:00,14.78571429,3.1
14/09/1940 00:00,14.4,28.8
15/09/1940 00:00,15.68571429,0.3
16/09/1940 00:00,15.54285714,103.9
17/09/1940 00:00,15.82857143,19.6
18/09/1940 00:00,15.08571429,7.9
19/09/1940 00:00,16.37142857,1.8
20/09/1940 00:00,16.62857143,4.8
21/09/1940 00:00,16.17142857,18
22/09/1940 00:00,15.81428571,16.2
23/09/1940 00:00,13.91428571,7.9
24/09/1940 00:00,11.32857143,26.4
25/09/1940 00:00,10.84285714,46
26/09/1940 00:00,10.74285714,20.3
27/09/1940 00:00,11.85714286,2.3
28/09/1940 00:00,13.05714286,0
29/09/1940 00:00,13.15714286,4.1
30/09/1940 00:00,11.91428571,0
01/10/1940 00:00,11.95714286,5.1
02/10/1940 00:00,11.67142857,10.7
03/10/1940 00:00,11.1,11.5
04/10/1940 00:00,10.28571429,12.2
05/10/1940 00:00,10.37142857,4
06/10/1940 00:00,12.08571429,4.5
07/10/1940 00:00,12.7,12.7
08/10/1940 00:00,11.48571429,9.6
09/10/1940 00:00,10.1,52.1
10/10/1940 00:00,10.08571429,1.5
11/10/1940 00:00,10.51428571,0.5
12/10/1940 00:00,10.62857143,0.5
13/10/1940 00:00,9.671428571,0.8
14/10/1940 00:00,6.942857143,47
15/10/1940 00:00,8.142857143,16
16/10/1940 00:00,4.985714286,0.5
17/10/1940 00:00,6.171428571,42.9
18/10/1940 00:00,7.8,40.9
19/10/1940 00:00,6.671428571,1.1
20/10/1940 00:00,6.542857143,18.6
21/10/1940 00:00,6.557142857,8.9
22/10/1940 00:00,3.985714286,3.3
23/10/1940 00:00,6.485714286,14.7
24/10/1940 00:00,8.228571429,0
25/10/1940 00:00,7.157142857,0.5
26/10/1940 00:00,3.857142857,36.9
27/10/1940 00:00,2.771428571,36.1
28/10/1940 00:00,2.542857143,41.7
29/10/1940 00:00,3.1,11.7
30/10/1940 00:00,4.814285714,14.2
31/10/1940 00:00,4.614285714,8.6
01/11/1940 00:00,3.5,35.1
02/11/1940 00:00,4.3,20.3
03/11/1940 00:00,4.328571429,4.6
04/11/1940 00:00,2.985714286,0.5
05/11/1940 00:00,2.128571429,22.6
06/11/1940 00:00,-0.157142857,19.7
07/11/1940 00:00,-1.9,28.8
08/11/1940 00:00,-3.9,7.4
09/11/1940 00:00,-6.157142857,7.2
10/11/1940 00:00,-6.314285714,11.7
11/11/1940 00:00,-4.557142857,39.9
12/11/1940 00:00,-5.314285714,6.9
13/11/1940 00:00,-5.157142857,21.8
14/11/1940 00:00,-2.485714286,18
15/11/1940 00:00,1.928571429,15
16/11/1940 00:00,1.1,29
17/11/1940 00:00,0.042857143,9.8
18/11/1940 00:00,0.514285714,0
19/11/1940 00:00,-0.742857143,0.3
20/11/1940 00:00,1.314285714,8.6
21/11/1940 00:00,-0.328571429,8.1
22/11/1940 00:00,-0.1,11.7
23/11/1940 00:00,-2.257142857,5.9
24/11/1940 00:00,-3.9,17.3
25/11/1940 00:00,-4.8,12.2
26/11/1940 00:00,-6.085714286,29
27/11/1940 00:00,-7.928571429,28.4
28/11/1940 00:00,-9.914285714,13.4
29/11/1940 00:00,-11.12857143,21.4
30/11/1940 00:00,-9.985714286,46.7
01/12/1940 00:00,-11.81428571,15.1
02/12/1940 00:00,-13.27142857,8.9
03/12/1940 00:00,-10.95714286,16.3
04/12/1940 00:00,-9.857142857,37.4
05/12/1940 00:00,-5.6,17.8
06/12/1940 00:00,-6.8,32.5
07/12/1940 00:00,-2.342857143,45
08/12/1940 00:00,-1.157142857,20.2
09/12/1940 00:00,-3.914285714,2
10/12/1940 00:00,-4.057142857,3.8
11/12/1940 00:00,-10.32857143,3.3
12/12/1940 00:00,-12.87142857,18.8
13/12/1940 00:00,-11.58571429,0
14/12/1940 00:00,-10.61428571,0
15/12/1940 00:00,-9.2,6.4
16/12/1940 00:00,-7.4,17.3
17/12/1940 00:00,-7.842857143,4.6
18/12/1940 00:00,-6.357142857,1.3
19/12/1940 00:00,-1.742857143,26.7
20/12/1940 00:00,-0.6,6.1
21/12/1940 00:00,0.371428571,3.6
22/12/1940 00:00,-0.1,0.8
23/12/1940 00:00,-3.614285714,6.1
24/12/1940 00:00,-4.628571429,5.6
25/12/1940 00:00,-3.2,5.3
26/12/1940 00:00,-2.957142857,7.3
27/12/1940 00:00,-1.971428571,31.5
28/12/1940 00:00,-2.3,36.7
29/12/1940 00:00,-2.214285714,74.2
30/12/1940 00:00,-2.742857143,25.7
31/12/1940 00:00,-3.285714286,3.9
01/01/1941 00:00,-6.228571429,10.7
02/01/1941 00:00,-7.714285714,15.5
03/01/1941 00:00,-8.257142857,10.9
04/01/1941 00:00,-10.67142857,22.6
05/01/1941 00:00,-10.9,8.2
06/01/1941 00:00,-11.15714286,4.1
07/01/1941 00:00,-12.04285714,5.3
08/01/1941 00:00,-13.81428571,23.2
09/01/1941 00:00,-6.4,3.4
10/01/1941 00:00,-5.057142857,4.8
11/01/1941 00:00,-4,14
12/01/1941 00:00,-4.542857143,31.3
13/01/1941 00:00,-8.414285714,10.9
14/01/1941 00:00,-12.27142857,13.9
15/01/1941 00:00,-12.07142857,35.1
16/01/1941 00:00,-10.88571429,22.2
17/01/1941 00:00,-10.45714286,52.8
18/01/1941 00:00,-6.828571429,13.9
19/01/1941 00:00,-7.014285714,19.1
20/01/1941 00:00,-9.4,15.9
21/01/1941 00:00,-10.92857143,5.1
22/01/1941 00:00,-9.171428571,30.3
23/01/1941 00:00,-13.11428571,10.7
24/01/1941 00:00,-17.68571429,16.4
25/01/1941 00:00,-13.98571429,11.2
26/01/1941 00:00,-12.21428571,8.6
27/01/1941 00:00,-11.82857143,4.9
28/01/1941 00:00,-6.542857143,12.5
29/01/1941 00:00,-6.228571429,20.4
30/01/1941 00:00,-4.857142857,17
31/01/1941 00:00,-3.5,24.4
01/02/1941 00:00,-3.342857143,14.8
02/02/1941 00:00,-2.2,4.3
03/02/1941 00:00,-3.628571429,3.6
04/02/1941 00:00,-4.614285714,1.1
05/02/1941 00:00,-5.442857143,2.1
06/02/1941 00:00,-6.2,16.8
07/02/1941 00:00,-4.8,38.6
08/02/1941 00:00,-4.128571429,11.7
09/02/1941 00:00,-7.071428571,10.2
10/02/1941 00:00,-8.371428571,3.6
11/02/1941 00:00,-6.157142857,15
12/02/1941 00:00,-5.257142857,2.3
13/02/1941 00:00,-6.128571429,3.6
14/02/1941 00:00,-3.785714286,5.3
15/02/1941 00:00,-4.585714286,2.3
16/02/1941 00:00,-6.571428571,7
17/02/1941 00:00,-10.08571429,11.8
18/02/1941 00:00,-14.05714286,6.2
19/02/1941 00:00,-15.14285714,3.6
20/02/1941 00:00,-13.55714286,12.1
21/02/1941 00:00,-10.28571429,1.9
22/02/1941 00:00,-8.328571429,8.2
23/02/1941 00:00,-10.32857143,8.6
24/02/1941 00:00,-11.32857143,3.3
25/02/1941 00:00,-9.9,35.9
26/02/1941 00:00,-10.37142857,12.7
27/02/1941 00:00,-9.771428571,24.9
28/02/1941 00:00,-6.514285714,6.1
01/03/1941 00:00,-5.7,27.7
02/03/1941 00:00,-6.485714286,3.4
03/03/1941 00:00,-5.357142857,32.7
04/03/1941 00:00,-9.171428571,3.3
05/03/1941 00:00,-7.714285714,9.4
06/03/1941 00:00,-5.414285714,5.6
07/03/1941 00:00,-3.242857143,0.3
08/03/1941 00:00,-3.157142857,2.3
09/03/1941 00:00,-2.357142857,24.9
10/03/1941 00:00,-4.571428571,2.8
11/03/1941 00:00,-5.928571429,32.3
12/03/1941 00:00,-6.228571429,0.3
13/03/1941 00:00,-6.257142857,0
14/03/1941 00:00,-2.6,0.8
15/03/1941 00:00,-3.957142857,10.9
16/03/1941 00:00,-6.671428571,14
17/03/1941 00:00,-8.271428571,4.6
18/03/1941 00:00,-6.8,12.4
19/03/1941 00:00,-4.485714286,5.3
20/03/1941 00:00,-2.957142857,1.5
21/03/1941 00:00,-1.114285714,18.3
22/03/1941 00:00,-0.485714286,2.4
23/03/1941 00:00,-0.842857143,1.8
24/03/1941 00:00,0.442857143,0
25/03/1941 00:00,1.357142857,23.6
26/03/1941 00:00,1.457142857,8.1
27/03/1941 00:00,1.857142857,0
28/03/1941 00:00,1.771428571,0
29/03/1941 00:00,1.257142857,22.4
30/03/1941 00:00,-0.128571429,1.5
31/03/1941 00:00,0.3,8.7
01/04/1941 00:00,1.628571429,14.3
02/04/1941 00:00,0.428571429,1.8
03/04/1941 00:00,1.328571429,11.7
04/04/1941 00:00,3.657142857,6.9
05/04/1941 00:00,3.871428571,25.4
06/04/1941 00:00,4.828571429,3.8
07/04/1941 00:00,4.8,5.9
08/04/1941 00:00,5.171428571,8.3
09/04/1941 00:00,6.428571429,1
10/04/1941 00:00,8.028571429,0
11/04/1941 00:00,8.016666667,2
12/04/1941 00:00,8.416666667,3.8
13/04/1941 00:00,8.628571429,13.9
14/04/1941 00:00,10.48571429,13.5
15/04/1941 00:00,11.87142857,0.8
16/04/1941 00:00,6.728571429,18.8
17/04/1941 00:00,6.214285714,13.2
18/04/1941 00:00,5.442857143,3.5
19/04/1941 00:00,8.471428571,10.7
20/04/1941 00:00,9.742857143,5
21/04/1941 00:00,6.228571429,3
22/04/1941 00:00,5.985714286,2.5
23/04/1941 00:00,8.171428571,1.5
24/04/1941 00:00,6.857142857,3
25/04/1941 00:00,6.014285714,1
26/04/1941 00:00,10.22857143,0
27/04/1941 00:00,11.98571429,23.1
28/04/1941 00:00,12.37142857,2.1
29/04/1941 00:00,10.28571429,2.8
30/04/1941 00:00,13.04285714,1.8
01/05/1941 00:00,13.05714286,7.2
02/05/1941 00:00,11.84285714,34.6
03/05/1941 00:00,11.8,4.6
04/05/1941 00:00,12.7,12.1
05/05/1941 00:00,12.44285714,11.2
06/05/1941 00:00,10.64285714,0.8
07/05/1941 00:00,10.74285714,10.1
08/05/1941 00:00,9.485714286,17
09/05/1941 00:00,8.785714286,28.7
10/05/1941 00:00,9.785714286,6.1
11/05/1941 00:00,10.6,2.6
12/05/1941 00:00,12.24285714,5.9
13/05/1941 00:00,11.04285714,7.7
14/05/1941 00:00,8.357142857,23.1
15/05/1941 00:00,9.685714286,48.5
16/05/1941 00:00,12.37142857,23.4
17/05/1941 00:00,12.97142857,34.6
18/05/1941 00:00,12.15714286,11.9
19/05/1941 00:00,11.97142857,11.5
20/05/1941 00:00,13.1,0
21/05/1941 00:00,14.37142857,17.7
22/05/1941 00:00,13.58571429,0
23/05/1941 00:00,15.44285714,17.6
24/05/1941 00:00,13.95714286,53.1
25/05/1941 00:00,12.1,27.6
26/05/1941 00:00,11.2,16.3
27/05/1941 00:00,11.38571429,31
28/05/1941 00:00,12.41428571,61.3
29/05/1941 00:00,11.74285714,8.7
30/05/1941 00:00,12.72857143,28.2
31/05/1941 00:00,12.64285714,33.3
01/06/1941 00:00,13.82857143,46.2
02/06/1941 00:00,14.22857143,16.3
03/06/1941 00:00,14,3
04/06/1941 00:00,14.31428571,6.9
05/06/1941 00:00,14.67142857,6.3
06/06/1941 00:00,14,8.9
07/06/1941 00:00,14.85714286,1.6
08/06/1941 00:00,14.58571429,1.5
09/06/1941 00:00,13.02857143,15.5
10/06/1941 00:00,13.25714286,35.8
11/06/1941 00:00,14.58571429,9.4
12/06/1941 00:00,14.67142857,19.6
13/06/1941 00:00,16.61428571,22.9
14/06/1941 00:00,17.05714286,30.2
15/06/1941 00:00,17.24285714,32
16/06/1941 00:00,17.54285714,7.6
17/06/1941 00:00,19.05714286,23.3
18/06/1941 00:00,19.18571429,8.4
19/06/1941 00:00,19.75714286,4.6
20/06/1941 00:00,18.51428571,0
21/06/1941 00:00,20.22857143,0.3
22/06/1941 00:00,20.72857143,41.5
23/06/1941 00:00,19.77142857,0
24/06/1941 00:00,20.98571429,28.5
25/06/1941 00:00,17.92857143,8.6
26/06/1941 00:00,19.31428571,9.7
27/06/1941 00:00,21,19.8
28/06/1941 00:00,20.45,13
29/06/1941 00:00,19.61666667,1.5
30/06/1941 00:00,18.63333333,3.8
01/07/1941 00:00,19.94285714,1.5
02/07/1941 00:00,19.38571429,0
03/07/1941 00:00,17.4,4.1
04/07/1941 00:00,18.47142857,17.5
05/07/1941 00:00,20.42857143,3
06/07/1941 00:00,20.47142857,2.8
07/07/1941 00:00,21.21428571,39.1
08/07/1941 00:00,19.78571429,18
09/07/1941 00:00,18.1,12.9
10/07/1941 00:00,17.84285714,18.5
11/07/1941 00:00,18.15714286,40.8
12/07/1941 00:00,18.14285714,30.2
13/07/1941 00:00,18.78571429,36.1
14/07/1941 00:00,19.77142857,0
15/07/1941 00:00,20.85714286,0.8
16/07/1941 00:00,22.32857143,35.8
17/07/1941 00:00,21.6,3.5
18/07/1941 00:00,21.3,16.8
19/07/1941 00:00,22.4,8.1
20/07/1941 00:00,21.1,6.8
21/07/1941 00:00,20.82857143,7.6
22/07/1941 00:00,20.45714286,0
23/07/1941 00:00,20.18571429,1
24/07/1941 00:00,20.77142857,3.3
25/07/1941 00:00,21.28571429,50.5
26/07/1941 00:00,21.12857143,12
27/07/1941 00:00,21.6,12.5
28/07/1941 00:00,20.72857143,11.2
29/07/1941 00:00,20.45714286,2.8
30/07/1941 00:00,20.62857143,9.1
31/07/1941 00:00,21.17142857,6.4
01/08/1941 00:00,20.27142857,119.2
02/08/1941 00:00,19.25,7.7
03/08/1941 00:00,18.77142857,11.2
04/08/1941 00:00,20.58571429,6.1
05/08/1941 00:00,20.47142857,0.5
06/08/1941 00:00,18.85714286,0
07/08/1941 00:00,19.92857143,0
08/08/1941 00:00,20.55714286,9.4
09/08/1941 00:00,20.71666667,3.1
10/08/1941 00:00,18.9,51.8
11/08/1941 00:00,18.5,17.8
12/08/1941 00:00,17.78571429,3.1
13/08/1941 00:00,17.12857143,0.3
14/08/1941 00:00,17.2,0.3
15/08/1941 00:00,16.85714286,7.9
16/08/1941 00:00,16.21428571,25.9
17/08/1941 00:00,16,15
18/08/1941 00:00,15.77142857,0.3
19/08/1941 00:00,17.6,4.1
20/08/1941 00:00,17.65714286,9.2
21/08/1941 00:00,17.42857143,2.3
22/08/1941 00:00,17.98571429,7.6
23/08/1941 00:00,16.45714286,23.9
24/08/1941 00:00,15.65714286,43.6
25/08/1941 00:00,14.75714286,47.7
26/08/1941 00:00,14.9,6.4
27/08/1941 00:00,13.71428571,18.2
28/08/1941 00:00,12.55714286,9.9
29/08/1941 00:00,14.52857143,0.5
30/08/1941 00:00,14.78571429,15
31/08/1941 00:00,16.67142857,29.9
01/09/1941 00:00,17.025,22.1
02/09/1941 00:00,13.85,16.7
03/09/1941 00:00,15.475,105.6
04/09/1941 00:00,17.325,17.2
05/09/1941 00:00,16.7375,45.4
06/09/1941 00:00,16.24285714,17.2
07/09/1941 00:00,13.125,7
08/09/1941 00:00,11.5625,4.5
09/09/1941 00:00,12.4,22.7
10/09/1941 00:00,14.5125,13.8
11/09/1941 00:00,14.05,5.6
12/09/1941 00:00,12.3625,9.4
13/09/1941 00:00,11.2875,3.5
14/09/1941 00:00,12.8125,8.6
15/09/1941 00:00,16.6875,24.4
16/09/1941 00:00,16.5,9.7
17/09/1941 00:00,15.9125,11.7
18/09/1941 00:00,13.2375,16
19/09/1941 00:00,11.1375,13
20/09/1941 00:00,10.775,11.4
21/09/1941 00:00,13.0375,1.8
22/09/1941 00:00,15.35,0
23/09/1941 00:00,13.2125,18.8
24/09/1941 00:00,9.825,8.9
25/09/1941 00:00,11.075,7.1
26/09/1941 00:00,8.45,6.3
27/09/1941 00:00,7.35,0
28/09/1941 00:00,11.75,15.8
29/09/1941 00:00,8.3125,5.3
30/09/1941 00:00,8.3375,45
01/10/1941 00:00,10.3375,8.2
02/10/1941 00:00,10.2875,7.9
03/10/1941 00:00,11.175,67
04/10/1941 00:00,10.625,31
05/10/1941 00:00,9.4875,83.3
06/10/1941 00:00,9.175,25.7
07/10/1941 00:00,10.4,49.2
08/10/1941 00:00,9.225,21.6
09/10/1941 00:00,6.9375,46.8
10/10/1941 00:00,8.0125,29.4
11/10/1941 00:00,8.075,21.1
12/10/1941 00:00,7.9875,4.4
13/10/1941 00:00,8.9,56.7
14/10/1941 00:00,11.0875,15.3
15/10/1941 00:00,11.3125,18.9
16/10/1941 00:00,8.9875,4.1
17/10/1941 00:00,7.6375,0.5
18/10/1941 00:00,9.0625,25.4
19/10/1941 00:00,9.05,0.8
20/10/1941 00:00,8.35,0
21/10/1941 00:00,9.4375,6.6
22/10/1941 00:00,9.45,7.9
23/10/1941 00:00,8.3875,50.5
24/10/1941 00:00,5.825,2
25/10/1941 00:00,5.1625,2.5
26/10/1941 00:00,3.15,0.8
