LOCAL_DATE,mean_temp,mean_prec,,,,
26/05/1980 00:00,11.40769231,50,26/05/1980,77.72906404,54.39800995,0.066108374
27/05/1980 00:00,11.46923077,25,27/05/1980,79.14285714,53.36453202,0.062857143
28/05/1980 00:00,11.9,11.9,28/05/1980,80.49753695,56.13793103,0.045812808
29/05/1980 00:00,11.86923077,0.2,29/05/1980,80.69458128,57.52216749,0.128817734
30/05/1980 00:00,11.68461538,16.3,30/05/1980,79.55172414,58.48275862,0.110245098
31/05/1980 00:00,13.1,21.1,31/05/1980,78.95544554,58.41584158,0.096862745
01/06/1980 00:00,12.96153846,57.6,01/06/1980,78.27227723,58.54455446,0.174679803
02/06/1980 00:00,12.82307692,16.9,02/06/1980,78.62871287,59.11881188,0.183546798
03/06/1980 00:00,12.86923077,38.6,03/06/1980,80.13366337,58.75124378,0.096699507
04/06/1980 00:00,12.30769231,32.9,04/06/1980,79.85148515,58.44059406,0.048128079
05/06/1980 00:00,12.88461538,16.9,05/06/1980,81.25247525,58.16831683,0.117586207
06/06/1980 00:00,12.59230769,17.2,06/06/1980,82.15422886,60.12935323,0.100541872
07/06/1980 00:00,14.03076923,21.5,07/06/1980,81.78109453,60.02487562,0.20408867
08/06/1980 00:00,12.72307692,93.9,08/06/1980,79.02475248,55.44059406,0.033990148
09/06/1980 00:00,12.16923077,25.6,09/06/1980,77.72277228,53.52238806,0.056256158
10/06/1980 00:00,12.72307692,8.2,10/06/1980,77.98019802,52.60696517,0.050541872
11/06/1980 00:00,13.33846154,7.7,11/06/1980,79.94059406,53.08955224,0.015517241
12/06/1980 00:00,13.73076923,4.8,12/06/1980,80.96534653,55.66169154,0.076748768
13/06/1980 00:00,15.69230769,1.4,13/06/1980,82.62871287,57.51741294,0.067536946
14/06/1980 00:00,16.6,12.3,14/06/1980,84.52736318,58.51243781,0.059651741
15/06/1980 00:00,14.66153846,67.7,15/06/1980,82.76732673,59.00990099,0.13364532
16/06/1980 00:00,14.18461538,47.3,16/06/1980,79.96039604,57.04455446,0.070147783
17/06/1980 00:00,13.25384615,28.6,17/06/1980,81.44554455,56.64851485,0.104876847
18/06/1980 00:00,12.37692308,12.5,18/06/1980,82.51485149,58.2029703,0.143781095
19/06/1980 00:00,14.43846154,40,19/06/1980,81.85148515,57.67821782,0.156699507
20/06/1980 00:00,16.06153846,62.9,20/06/1980,80.62189055,57.19402985,0.085594059
21/06/1980 00:00,16.46923077,23.9,21/06/1980,83.04455446,58.75742574,0.051921182
22/06/1980 00:00,17.33076923,18.2,22/06/1980,85.33168317,59.79207921,0.084384236
23/06/1980 00:00,18.23076923,29.6,23/06/1980,86.03960396,61.92079208,0.124433498
24/06/1980 00:00,18.69230769,51.5,24/06/1980,85.83663366,64.08415842,0.121625616
25/06/1980 00:00,18.89230769,38,25/06/1980,87.54950495,64.8960396,0.101336634
26/06/1980 00:00,18.57692308,50.9,26/06/1980,88.13366337,64.79104478,0.04729064
27/06/1980 00:00,15.56923077,73.1,27/06/1980,88.32673267,64.84158416,0.061034483
28/06/1980 00:00,13.92307692,43.5,28/06/1980,88.87128713,64.17326733,0.082758621
29/06/1980 00:00,15.16153846,18.8,29/06/1980,86.55940594,63.96039604,0.121732673
30/06/1980 00:00,14.74615385,82.9,30/06/1980,85.54726368,62.56930693,0.054851485
01/07/1980 00:00,15.29230769,14,01/07/1980,86.960199,62.9800995,0.031732673
02/07/1980 00:00,16.3,26,02/07/1980,86.46766169,63.96517413,0.109154229
03/07/1980 00:00,17.09230769,43.8,03/07/1980,86.28855721,64.35323383,0.087810945
04/07/1980 00:00,17.73846154,22.4,04/07/1980,88.55721393,65.63681592,0.07920398
05/07/1980 00:00,17.72307692,51.1,05/07/1980,89.07462687,65.70149254,0.104851485
06/07/1980 00:00,15.73846154,31,06/07/1980,88.51,64.275,0.025445545
07/07/1980 00:00,16.19230769,6.1,07/07/1980,90.39303483,64.39303483,0.033564356
08/07/1980 00:00,17.27692308,47.3,08/07/1980,89.45771144,66.37810945,0.131188119
09/07/1980 00:00,17.12307692,39.8,09/07/1980,90.52736318,66.01492537,0.081683168
10/07/1980 00:00,17.78461538,38.2,10/07/1980,91.94029851,67.02487562,0.083880597
11/07/1980 00:00,17.49230769,42.8,11/07/1980,92.54,67.34,0.023118812
12/07/1980 00:00,15.16153846,41.5,12/07/1980,90.54228856,66.85,0.070792079
13/07/1980 00:00,16.91538462,9.2,13/07/1980,91,65.92537313,0.017960199
14/07/1980 00:00,17.86153846,7.6,14/07/1980,92.22885572,67.58706468,0.030447761
15/07/1980 00:00,18.89230769,91.5,15/07/1980,93.62686567,68.26,0.056980198
16/07/1980 00:00,18.60769231,17.6,16/07/1980,94.10945274,68.13432836,0.094059406
17/07/1980 00:00,17.36153846,61.8,17/07/1980,92.7761194,66.80099502,0.072139303
18/07/1980 00:00,17.96153846,16.8,18/07/1980,90.62189055,66.19900498,0.062227723
19/07/1980 00:00,17.45384615,29.3,19/07/1980,91.695,67.115,0.069306931
20/07/1980 00:00,17.81538462,35.3,20/07/1980,91.42288557,68.35820896,0.117128713
21/07/1980 00:00,18.83076923,66.2,21/07/1980,89.99,67.42288557,0.164059406
22/07/1980 00:00,19.00769231,95,22/07/1980,88.11442786,65.49253731,0.21990099
23/07/1980 00:00,18.86923077,31.1,23/07/1980,87.69651741,64.79104478,0.119651741
24/07/1980 00:00,17.7,10.4,24/07/1980,88.52238806,63.58706468,0.065346535
25/07/1980 00:00,18.27692308,27,25/07/1980,88.46766169,63.655,0.091089109
26/07/1980 00:00,18.47692308,9.2,26/07/1980,88.005,64.675,0.085445545
27/07/1980 00:00,18.26153846,8.6,27/07/1980,88.45273632,65.14925373,0.1460199
28/07/1980 00:00,18.94615385,149.1,28/07/1980,89.43781095,65.385,0.13480198
29/07/1980 00:00,18.66923077,67.9,29/07/1980,90.54228856,65.75124378,0.107425743
30/07/1980 00:00,18.68461538,24.3,30/07/1980,91.15920398,66,0.035472637
31/07/1980 00:00,19.16153846,0.4,31/07/1980,92.56,66.58,0.0319
01/08/1980 00:00,19.53076923,1,01/08/1980,92.68656716,67.23880597,0.063019802
02/08/1980 00:00,18.98461538,37,02/08/1980,90.12,67.125,0.092487562
03/08/1980 00:00,16.64615385,111.9,03/08/1980,89.1840796,66.045,0.086633663
04/08/1980 00:00,17.69230769,18.3,04/08/1980,88.14427861,65.02985075,0.103118812
05/08/1980 00:00,17.52307692,16.3,05/08/1980,89.28358209,65.55721393,0.116169154
06/08/1980 00:00,18.11538462,27.9,06/08/1980,90.96,66.34,0.06009901
07/08/1980 00:00,18.65384615,22.5,07/08/1980,91.845,67.93,0.113811881
08/08/1980 00:00,19.31538462,24.3,08/08/1980,91.62189055,68.18905473,0.084108911
09/08/1980 00:00,17.91538462,17.9,09/08/1980,90.48258706,67.29353234,0.11490099
10/08/1980 00:00,16.96923077,31.4,10/08/1980,88.97014925,66.23383085,0.215990099
11/08/1980 00:00,16.99230769,11.2,11/08/1980,87.7960199,65.85572139,0.191732673
12/08/1980 00:00,16.73846154,80.2,12/08/1980,87.2039801,65.0199005,0.069059406
13/08/1980 00:00,15.86153846,31.9,13/08/1980,86.30150754,64.73366834,0.079405941
14/08/1980 00:00,16.54615385,27.4,14/08/1980,85.21,64.945,0.152772277
15/08/1980 00:00,16.32307692,27.7,15/08/1980,83.62686567,64.87562189,0.207029703
16/08/1980 00:00,15.6,100.4,16/08/1980,82.09950249,63.24378109,0.192524752
17/08/1980 00:00,15.64615385,55.5,17/08/1980,83.45771144,62.64179104,0.125643564
18/08/1980 00:00,16.62307692,5.3,18/08/1980,85.51243781,63.9800995,0.11970297
19/08/1980 00:00,17.22307692,7.2,19/08/1980,86.59701493,65.48756219,0.140792079
20/08/1980 00:00,15.70769231,38,20/08/1980,86.77,65.195,0.15529703
21/08/1980 00:00,15.56153846,4.9,21/08/1980,86.25,63.19,0.091485149
22/08/1980 00:00,15.76923077,2,22/08/1980,85.49253731,62.245,0.042089552
23/08/1980 00:00,16.93076923,18.3,23/08/1980,86.15422886,62.33,0.048019802
24/08/1980 00:00,16.89230769,53.5,24/08/1980,87.54726368,63.11,0.043134328
25/08/1980 00:00,14.96153846,6.8,25/08/1980,86.82089552,62.53731343,0.0294
26/08/1980 00:00,15.44615385,11.4,26/08/1980,86.05,61.56218905,0.051930693
27/08/1980 00:00,16.48461538,40.2,27/08/1980,85.04,62.62189055,0.036089109
