Date,Price,Open,High,Low,Vol.,Change %
28/10/1996,382.25,388.5,390,380,8.94K,-1.92%
25/10/1996,389.75,385,391.5,381,11.25K,1.50%
24/10/1996,384.00,399,399,382,13.70K,-3.64%
23/10/1996,398.50,399.75,405,398,9.30K,-0.25%
22/10/1996,399.50,400,401.5,392,15.14K,-0.25%
21/10/1996,400.50,404.5,406,400,10.20K,-1.05%
18/10/1996,404.75,408,413,402.5,13.24K,-1.52%
17/10/1996,411.00,417,417.5,409,16.36K,-1.50%
16/10/1996,417.25,420.75,424,417,11.11K,-1.07%
15/10/1996,421.75,430.25,433,421,11.43K,-1.80%
14/10/1996,429.50,423.75,430,421.75,7.91K,1.18%
11/10/1996,424.50,423.5,430,419.5,12.27K,0.12%
10/10/1996,424.00,427.5,428.5,422.5,6.78K,-0.70%
09/10/1996,427.00,429.5,432.5,425,8.09K,-0.35%
08/10/1996,428.50,423,429,419.5,9.64K,1.42%
07/10/1996,422.50,421.75,423.5,418.5,5.56K,0.36%
04/10/1996,421.00,420.5,423,413.5,11.68K,0.24%
03/10/1996,420.00,423.5,425,417,13.24K,-0.59%
02/10/1996,422.50,434.5,439,421.5,13.99K,-2.59%
01/10/1996,433.75,435,438,432,10.92K,-0.52%
30/09/1996,436.00,430,436.5,425,15.32K,1.04%
27/09/1996,431.50,429.5,432,428,7.63K,0.52%
26/09/1996,429.25,429,433.5,427,8.57K,-0.06%
25/09/1996,429.50,429.5,432.5,427,7.06K,0.00%
24/09/1996,429.50,425,433.5,425,12.36K,0.70%
23/09/1996,426.50,419.5,428.5,417.5,8.78K,1.31%
20/09/1996,421.00,416,425,415.5,8.41K,-0.24%
19/09/1996,422.00,434,436,421.5,8.65K,-2.43%
18/09/1996,432.50,422,432.5,422,0.45K,2.25%
17/09/1996,423.00,424.5,430,423,0.33K,-0.06%
16/09/1996,423.25,426,426.5,419,0.44K,-1.34%
13/09/1996,429.00,435,435,427.5,0.48K,-2.05%
12/09/1996,438.00,442,444.5,436,0.77K,-1.35%
11/09/1996,444.00,456,459,444,1.06K,-3.79%
10/09/1996,461.50,453,462,453,1.27K,1.76%
09/09/1996,453.50,443,455,443,1.07K,1.57%
06/09/1996,446.50,445,448,442.5,2.05K,-0.22%
05/09/1996,447.50,449,449.5,441.5,1.06K,-0.33%
04/09/1996,449.00,450,453.5,447,1.64K,-0.77%
03/09/1996,452.50,448.25,457.5,447.5,2.51K,3.78%
01/09/1996,436.00,448.25,462,415.5,89.91K,-2.79%
30/08/1996,448.50,452,452.5,447.5,3.67K,-0.61%
29/08/1996,451.25,450,453,446,5.13K,0.00%
28/08/1996,451.25,458,459,450.5,3.56K,-1.53%
27/08/1996,458.25,455,459.75,455,3.85K,-0.22%
26/08/1996,459.25,453.25,462,450,4.51K,1.44%
23/08/1996,452.75,450.75,455,447,2.53K,0.50%
22/08/1996,450.50,450,452,447,2.19K,-0.11%
21/08/1996,451.00,454.5,456,450,2.88K,-0.77%
20/08/1996,454.50,458,459,453,2.96K,-1.09%
19/08/1996,459.50,453.25,461.5,446,2.90K,1.10%
16/08/1996,454.50,457,457,452,3.59K,-0.60%
15/08/1996,457.25,457.75,459,452.5,3.20K,0.27%
14/08/1996,456.00,460,465,455.5,3.72K,-0.92%
13/08/1996,460.25,473.25,476,457.5,7.48K,-3.00%
12/08/1996,474.50,464,482.75,464,6.22K,2.54%
09/08/1996,462.75,461,469,458.5,5.72K,0.65%
08/08/1996,459.75,453.75,462.5,453,6.46K,1.32%
07/08/1996,453.75,448.5,455,448.5,4.88K,1.17%
06/08/1996,448.50,444,450,438,4.00K,1.13%
05/08/1996,443.50,445,449.5,441,2.87K,-1.22%
02/08/1996,449.00,445,452,438.5,7.03K,0.67%
01/08/1996,446.00,439,447,437.25,4.48K,1.36%
31/07/1996,440.00,438.25,441,435,3.94K,0.40%
30/07/1996,438.25,444,448,437,6.46K,-1.24%
29/07/1996,443.75,434,444,434,4.41K,2.13%
26/07/1996,434.50,443.75,444.5,428,7.02K,-2.08%
25/07/1996,443.75,440,444.5,434,4.87K,0.62%
24/07/1996,441.00,453.75,454,440,9.08K,-2.81%
23/07/1996,453.75,460.25,464,449,7.46K,-1.36%
22/07/1996,460.00,471,475,453,3.88K,-2.02%
19/07/1996,469.50,483,489,467,0.60K,-2.80%
18/07/1996,483.00,477.5,495,473,0.95K,1.15%
17/07/1996,477.50,474,483,470,0.74K,-0.62%
16/07/1996,480.50,491.25,491.25,474,0.98K,-2.19%
15/07/1996,491.25,494,501.5,490,0.54K,-1.80%
12/07/1996,500.25,504,519,499,0.97K,-1.04%
11/07/1996,505.50,494,511.5,494,0.76K,2.90%
10/07/1996,491.25,491.5,492,486.5,1.47K,-0.05%
09/07/1996,491.50,480.5,494,478,1.73K,3.53%
08/07/1996,474.75,468.75,478.5,468.75,1.90K,1.01%
05/07/1996,470.00,469,476.5,468,1.05K,-1.31%
03/07/1996,476.25,470,476.5,469,1.40K,0.95%
02/07/1996,471.75,480,481,471,3.03K,-2.48%
01/07/1996,483.75,478,494.5,476,5.80K,1.10%
28/06/1996,478.50,478,482.5,470.5,5.78K,0.00%
27/06/1996,478.50,491.5,494,477.5,12.69K,-2.84%
